,GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,AF49E001,NAME_M,AF49M001
3560,G0600010400100,2012-2016,,,California,6,Alameda County,1,,,400100,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4001, Alameda County, California",177417.0,"Census Tract 4001, Alameda County, California",36076.0
3561,G0600010400200,2012-2016,,,California,6,Alameda County,1,,,400200,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4002, Alameda County, California",153125.0,"Census Tract 4002, Alameda County, California",27431.0
3562,G0600010400300,2012-2016,,,California,6,Alameda County,1,,,400300,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4003, Alameda County, California",85313.0,"Census Tract 4003, Alameda County, California",12979.0
3563,G0600010400400,2012-2016,,,California,6,Alameda County,1,,,400400,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4004, Alameda County, California",99539.0,"Census Tract 4004, Alameda County, California",12492.0
3564,G0600010400500,2012-2016,,,California,6,Alameda County,1,,,400500,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4005, Alameda County, California",83650.0,"Census Tract 4005, Alameda County, California",10698.0
3565,G0600010400600,2012-2016,,,California,6,Alameda County,1,,,400600,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4006, Alameda County, California",61597.0,"Census Tract 4006, Alameda County, California",19301.0
3566,G0600010400700,2012-2016,,,California,6,Alameda County,1,,,400700,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4007, Alameda County, California",46424.0,"Census Tract 4007, Alameda County, California",9550.0
3567,G0600010400800,2012-2016,,,California,6,Alameda County,1,,,400800,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4008, Alameda County, California",61111.0,"Census Tract 4008, Alameda County, California",6875.0
3568,G0600010400900,2012-2016,,,California,6,Alameda County,1,,,400900,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4009, Alameda County, California",55691.0,"Census Tract 4009, Alameda County, California",5252.0
3569,G0600010401000,2012-2016,,,California,6,Alameda County,1,,,401000,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4010, Alameda County, California",51073.0,"Census Tract 4010, Alameda County, California",12481.0
3570,G0600010401100,2012-2016,,,California,6,Alameda County,1,,,401100,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4011, Alameda County, California",71205.0,"Census Tract 4011, Alameda County, California",9195.0
3571,G0600010401200,2012-2016,,,California,6,Alameda County,1,,,401200,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4012, Alameda County, California",83208.0,"Census Tract 4012, Alameda County, California",12747.0
3572,G0600010401300,2012-2016,,,California,6,Alameda County,1,,,401300,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4013, Alameda County, California",37123.0,"Census Tract 4013, Alameda County, California",8910.0
3573,G0600010401400,2012-2016,,,California,6,Alameda County,1,,,401400,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4014, Alameda County, California",25985.0,"Census Tract 4014, Alameda County, California",4360.0
3574,G0600010401500,2012-2016,,,California,6,Alameda County,1,,,401500,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4015, Alameda County, California",48903.0,"Census Tract 4015, Alameda County, California",6162.0
3575,G0600010401600,2012-2016,,,California,6,Alameda County,1,,,401600,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4016, Alameda County, California",36544.0,"Census Tract 4016, Alameda County, California",10701.0
3576,G0600010401700,2012-2016,,,California,6,Alameda County,1,,,401700,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4017, Alameda County, California",66308.0,"Census Tract 4017, Alameda County, California",20935.0
3577,G0600010401800,2012-2016,,,California,6,Alameda County,1,,,401800,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4018, Alameda County, California",28185.0,"Census Tract 4018, Alameda County, California",4945.0
3578,G0600010402200,2012-2016,,,California,6,Alameda County,1,,,402200,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4022, Alameda County, California",45400.0,"Census Tract 4022, Alameda County, California",12041.0
3579,G0600010402400,2012-2016,,,California,6,Alameda County,1,,,402400,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4024, Alameda County, California",33724.0,"Census Tract 4024, Alameda County, California",7285.0
3580,G0600010402500,2012-2016,,,California,6,Alameda County,1,,,402500,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4025, Alameda County, California",23693.0,"Census Tract 4025, Alameda County, California",4578.0
3581,G0600010402600,2012-2016,,,California,6,Alameda County,1,,,402600,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4026, Alameda County, California",22955.0,"Census Tract 4026, Alameda County, California",3404.0
3582,G0600010402700,2012-2016,,,California,6,Alameda County,1,,,402700,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4027, Alameda County, California",44792.0,"Census Tract 4027, Alameda County, California",18845.0
3583,G0600010402800,2012-2016,,,California,6,Alameda County,1,,,402800,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4028, Alameda County, California",17363.0,"Census Tract 4028, Alameda County, California",4298.0
3584,G0600010402900,2012-2016,,,California,6,Alameda County,1,,,402900,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4029, Alameda County, California",28854.0,"Census Tract 4029, Alameda County, California",7509.0
3585,G0600010403000,2012-2016,,,California,6,Alameda County,1,,,403000,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4030, Alameda County, California",19490.0,"Census Tract 4030, Alameda County, California",2852.0
3586,G0600010403100,2012-2016,,,California,6,Alameda County,1,,,403100,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4031, Alameda County, California",51184.0,"Census Tract 4031, Alameda County, California",21447.0
3587,G0600010403300,2012-2016,,,California,6,Alameda County,1,,,403300,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4033, Alameda County, California",52246.0,"Census Tract 4033, Alameda County, California",18870.0
3588,G0600010403400,2012-2016,,,California,6,Alameda County,1,,,403400,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4034, Alameda County, California",51172.0,"Census Tract 4034, Alameda County, California",6759.0
3589,G0600010403501,2012-2016,,,California,6,Alameda County,1,,,403501,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4035.01, Alameda County, California",37032.0,"Census Tract 4035.01, Alameda County, California",6974.0
3590,G0600010403502,2012-2016,,,California,6,Alameda County,1,,,403502,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4035.02, Alameda County, California",67672.0,"Census Tract 4035.02, Alameda County, California",13682.0
3591,G0600010403600,2012-2016,,,California,6,Alameda County,1,,,403600,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4036, Alameda County, California",70600.0,"Census Tract 4036, Alameda County, California",7147.0
3592,G0600010403701,2012-2016,,,California,6,Alameda County,1,,,403701,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4037.01, Alameda County, California",66086.0,"Census Tract 4037.01, Alameda County, California",7137.0
3593,G0600010403702,2012-2016,,,California,6,Alameda County,1,,,403702,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4037.02, Alameda County, California",78266.0,"Census Tract 4037.02, Alameda County, California",11418.0
