,ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2,2017,2017,0,Total,97872,15718.0,"Census Tract 5001, Santa Clara County, CA",14000US06085500100
5,2017,2017,0,Total,99942,9525.0,"Census Tract 5002, Santa Clara County, CA",14000US06085500200
9,2017,2017,0,Total,116447,16494.0,"Census Tract 5003, Santa Clara County, CA",14000US06085500300
12,2017,2017,0,Total,72786,7239.000000000001,"Census Tract 5004, Santa Clara County, CA",14000US06085500400
15,2017,2017,0,Total,132216,15842.0,"Census Tract 5005, Santa Clara County, CA",14000US06085500500
19,2017,2017,0,Total,103285,21434.0,"Census Tract 5006, Santa Clara County, CA",14000US06085500600
22,2017,2017,0,Total,88333,16885.0,"Census Tract 5008, Santa Clara County, CA",14000US06085500800
26,2017,2017,0,Total,69868,19907.0,"Census Tract 5009.01, Santa Clara County, CA",14000US06085500901
29,2017,2017,0,Total,43714,6197.0,"Census Tract 5009.02, Santa Clara County, CA",14000US06085500902
33,2017,2017,0,Total,38993,11468.0,"Census Tract 5010, Santa Clara County, CA",14000US06085501000
36,2017,2017,0,Total,75069,12895.0,"Census Tract 5011.01, Santa Clara County, CA",14000US06085501101
39,2017,2017,0,Total,78688,13762.0,"Census Tract 5011.02, Santa Clara County, CA",14000US06085501102
43,2017,2017,0,Total,74911,16063.999999999998,"Census Tract 5012, Santa Clara County, CA",14000US06085501200
46,2017,2017,0,Total,102143,33338.0,"Census Tract 5013, Santa Clara County, CA",14000US06085501300
49,2017,2017,0,Total,45966,5615.0,"Census Tract 5014.01, Santa Clara County, CA",14000US06085501401
53,2017,2017,0,Total,51982,10342.0,"Census Tract 5014.02, Santa Clara County, CA",14000US06085501402
56,2017,2017,0,Total,52934,13916.0,"Census Tract 5015.01, Santa Clara County, CA",14000US06085501501
59,2017,2017,0,Total,62813,16038.000000000002,"Census Tract 5015.02, Santa Clara County, CA",14000US06085501502
63,2017,2017,0,Total,60216,19716.0,"Census Tract 5016, Santa Clara County, CA",14000US06085501600
66,2017,2017,0,Total,47639,10496.0,"Census Tract 5017, Santa Clara County, CA",14000US06085501700
